City_ID,City,Country,Max Temp,Cloudiness,Latitude,Longitude,Hotel Name
7,Vaini,TO,71.76,20,-21.2,-175.2,Keleti International Resort
12,East London,ZA,70.74,75,-33.0153,27.9116,No hotel found
22,Kahului,US,70.84,0,20.8947,-156.47,Maui Seaside Hotel
24,Ixtapa,MX,74.23,75,20.7,-105.2,No hotel found
25,Kapaa,US,68.32,20,22.0752,-159.319,Pono Kai Resort
28,Ribeira Grande,PT,66.6,40,38.5167,-28.7,No hotel found
50,Ponta do Sol,PT,69.01,49,32.6667,-17.1,Estalagem Ponta do Sol
52,Vila Franca do Campo,PT,69.19,100,37.7167,-25.4333,Vinha d'Areia Beach Hotel
86,Geraldton,AU,66.61,61,-28.7667,114.6,Ocean Centre Hotel
90,Cidreira,BR,71.22,23,-30.1811,-50.2056,Hotel Castelo
91,Port Alfred,ZA,69.19,97,-33.5906,26.891,No hotel found
95,Turan,VN,66.18,100,16.0678,108.2208,Thanh Thanh Hotel
99,Bukama,CD,72.36,93,-9.2,25.85,Mission catholique
113,Tuni,IN,72.28,41,17.35,82.55,No hotel found
118,Knysna,ZA,67.24,95,-34.0363,23.0471,Graywood Hotel
124,Carnarvon,AU,74.93,0,-24.8667,113.6333,No hotel found
127,Hermanus,ZA,72.81,80,-34.4187,19.2345,Aloe guest house
154,Bredasdorp,ZA,69.17,86,-34.5322,20.0403,Victoria Hotel
157,Broken Hill,AU,68.45,100,-31.95,141.4333,Ibis Styles
161,Gondanglegi,ID,74.61,85,-7.7479,112.0132,No hotel found
164,Cape Town,ZA,73.81,20,-33.9258,18.4232,Townhouse Hotel
176,Kruisfontein,ZA,68.88,100,-34.0033,24.7314,No hotel found
200,Cabo San Lucas,MX,71.91,40,22.8909,-109.9124,Comfort Rooms
205,Namwala,ZM,67.91,100,-15.7504,26.4384,No hotel found
219,Los Llanos de Aridane,ES,65.95,75,28.6585,-17.9182,Valle Aridane
228,Calama,CL,72.09,0,-22.4667,-68.9333,Apart Hotel Geotel Calama
238,Constitución,CL,66.88,40,-35.3333,-72.4167,Hostal Alameda
239,Inyonga,TZ,68.0,91,-6.7167,32.0667,Mikumi Lodge
245,Alofi,NU,71.49,100,-19.0595,-169.9187,No hotel found
246,Misratah,LY,68.04,0,32.3754,15.0925,الفندق السياحى
247,Chui,UY,69.85,85,-33.6971,-53.4616,Alerces
