City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Katangli,RU,51.7102,143.2326,4.59,91,100,16.55,overcast clouds
1,Denpasar,ID,-8.65,115.2167,78.46,88,20,1.14,few clouds
2,Punta Arenas,CL,-53.15,-70.9167,55.51,44,0,24.16,clear sky
3,Ushuaia,AR,-54.8,-68.3,49.62,81,75,25.32,light rain
4,Khatanga,RU,71.9667,102.5,-7.15,100,97,5.21,overcast clouds
5,Thompson,CA,55.7435,-97.8558,-9.24,77,75,9.22,broken clouds
6,Saint-Philippe,RE,-21.3585,55.7679,78.39,81,67,14.58,light rain
7,Vaini,TO,-21.2,-175.2,71.76,94,20,3.44,few clouds
8,Rikitea,PF,-23.1203,-134.9692,76.08,79,100,11.36,overcast clouds
9,Mamlyutka,KZ,54.9375,68.5394,10.13,96,93,6.62,overcast clouds
10,Nikolskoye,RU,59.7035,30.7861,-4.25,100,56,0.43,broken clouds
11,El Alto,PE,-4.2714,-81.2147,78.46,65,100,12.46,overcast clouds
12,East London,ZA,-33.0153,27.9116,70.74,94,75,6.91,broken clouds
13,Cherskiy,RU,68.75,161.3,-13.67,99,95,0.31,overcast clouds
14,Souillac,MU,-20.5167,57.5167,77.38,73,40,17.27,scattered clouds
15,Westerland,DE,54.9079,8.3033,37.42,87,100,16.11,overcast clouds
16,Port Hedland,AU,-20.3167,118.5667,78.85,83,75,11.5,broken clouds
17,Lavrentiya,RU,65.5833,-171.0,18.52,80,100,9.1,overcast clouds
18,Fort Nelson,CA,58.8053,-122.7002,-0.81,85,100,8.05,light snow
19,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,20,11.5,few clouds
20,Bethel,US,41.3712,-73.414,44.55,65,20,11.01,few clouds
21,Itoman,JP,26.1247,127.6694,60.82,63,75,35.68,broken clouds
22,Kahului,US,20.8947,-156.47,70.84,88,0,6.91,clear sky
23,Lüderitz,NA,-26.6481,15.1594,71.31,76,12,20.6,few clouds
24,Ixtapa,MX,20.7,-105.2,74.23,60,75,1.99,broken clouds
25,Kapaa,US,22.0752,-159.319,68.32,88,20,8.05,few clouds
26,Mataura,NZ,-46.1927,168.8643,50.65,100,100,1.61,overcast clouds
27,Severo-Yeniseyskiy,RU,60.3725,93.0408,-13.36,98,95,3.02,overcast clouds
28,Ribeira Grande,PT,38.5167,-28.7,66.6,82,40,35.99,light rain
29,New Norfolk,AU,-42.7826,147.0587,48.7,70,9,2.42,clear sky
30,Kieta,PG,-6.2167,155.6333,78.69,85,94,3.42,overcast clouds
31,Marystown,CA,47.1666,-55.1483,36.75,75,98,16.35,overcast clouds
32,Arraial do Cabo,BR,-22.9661,-42.0278,80.46,74,75,14.97,broken clouds
33,Humaitá,BR,-7.5061,-63.0208,82.53,74,100,1.99,overcast clouds
34,Vao,NC,-22.6667,167.4833,77.16,69,14,9.22,few clouds
35,Jamestown,US,42.097,-79.2353,33.39,62,100,14.97,overcast clouds
36,Vila Velha,BR,-20.3297,-40.2925,78.75,78,75,11.5,broken clouds
37,Aulnoye-Aymeries,FR,50.2014,3.8384,28.22,77,19,6.44,few clouds
38,Anaconda,US,46.1285,-112.9423,23.14,86,95,6.33,overcast clouds
39,Bondo,CD,3.8146,23.6866,78.35,43,88,0.65,overcast clouds
40,Atasū,KZ,48.6814,71.6433,-9.94,95,19,0.89,few clouds
41,Bengkulu,ID,-3.8004,102.2655,75.16,91,56,3.65,broken clouds
42,Mount Gambier,AU,-37.8333,140.7667,51.55,90,2,8.84,clear sky
43,Lagoa,PT,39.05,-27.9833,62.92,78,21,33.24,light rain
44,Lebu,CL,-37.6167,-73.65,63.81,71,1,15.32,clear sky
45,Pochutla,MX,15.7432,-96.4661,86.83,46,9,5.14,clear sky
46,Whitianga,NZ,-36.8333,175.7,64.0,97,100,3.36,overcast clouds
47,Cabra,ES,37.4725,-4.4421,52.39,80,9,3.22,clear sky
48,Båtsfjord,NO,70.6345,29.7185,17.53,85,73,12.66,broken clouds
49,Ballina,AU,-28.8667,153.5667,62.02,86,98,13.87,overcast clouds
50,Ponta do Sol,PT,32.6667,-17.1,69.01,80,49,5.77,scattered clouds
51,Chulym,RU,55.0997,80.9572,-4.11,82,4,7.02,clear sky
52,Vila Franca do Campo,PT,37.7167,-25.4333,69.19,88,100,25.01,light rain
53,Bathsheba,BB,13.2167,-59.5167,84.81,82,20,24.16,few clouds
54,Hobart,AU,-42.8794,147.3294,49.05,90,58,0.0,broken clouds
55,Kirovskiy,RU,45.0917,133.5136,-5.44,96,80,3.0,broken clouds
56,Olafsvik,IS,64.8945,-23.7142,27.3,90,100,26.19,snow
57,Tuburan,PH,6.6439,122.2736,81.46,76,100,8.1,overcast clouds
58,Guerrero Negro,MX,27.9769,-114.0611,61.38,36,69,1.41,broken clouds
59,Sangar,RU,63.9242,127.4739,-52.74,100,34,1.14,scattered clouds
60,Dvinskoy,RU,62.1535,45.1175,-2.54,100,79,2.64,broken clouds
61,Poum,NC,-20.2333,164.0167,79.79,76,6,11.07,clear sky
62,Tutóia,BR,-2.7619,-42.2744,84.6,64,48,12.62,scattered clouds
63,Hobyo,SO,5.3505,48.5268,78.84,73,26,19.04,scattered clouds
64,George Town,MY,5.4112,100.3354,79.95,88,20,3.44,few clouds
65,Albany,US,42.6001,-73.9662,38.37,75,49,3.0,scattered clouds
66,San Andrés,CO,12.5847,-81.7006,86.02,70,40,13.8,scattered clouds
67,Dubbo,AU,-32.25,148.6167,53.73,71,0,10.36,clear sky
68,Forsytheganj,BY,52.6333,29.7333,28.58,97,100,12.33,snow
69,Umluj,SA,25.0213,37.2685,79.03,50,0,1.83,clear sky
70,Tiksi,RU,71.6872,128.8694,-31.74,99,88,3.8,overcast clouds
71,Porbandar,IN,21.6422,69.6093,79.02,40,75,9.22,broken clouds
72,Jacareacanga,BR,-6.2222,-57.7528,86.29,64,74,5.59,broken clouds
73,Polyarny,RU,69.1989,33.4478,16.47,80,27,15.3,scattered clouds
74,Shimoda,JP,34.6667,138.95,43.11,80,100,23.96,overcast clouds
75,Mehamn,NO,71.0357,27.8492,17.51,86,95,10.36,overcast clouds
76,Kysyl-Syr,RU,63.8986,122.7617,-51.92,100,85,2.93,overcast clouds
77,Coos Bay,US,43.3665,-124.2179,33.78,86,0,8.05,clear sky
78,Yellowknife,CA,62.456,-114.3525,-16.08,76,75,9.22,broken clouds
79,Lompoc,US,34.6391,-120.4579,58.78,73,0,10.36,clear sky
80,Kropotkin,RU,45.4375,40.5756,48.36,72,35,6.35,scattered clouds
81,Santa Maria,BR,-29.6842,-53.8069,81.7,36,40,11.5,scattered clouds
82,San Patricio,US,28.017,-97.5169,53.47,36,100,11.32,overcast clouds
83,Mahébourg,MU,-20.4081,57.7,78.26,73,40,17.27,scattered clouds
84,Padang,ID,-0.9492,100.3543,77.05,87,100,3.29,heavy intensity rain
85,Longyearbyen,SJ,78.2186,15.6401,4.84,78,40,8.05,light shower snow
86,Geraldton,AU,-28.7667,114.6,66.61,77,61,5.75,broken clouds
87,Nouakchott,MR,18.0858,-15.9785,93.13,27,2,10.04,clear sky
88,Ambanja,MG,-13.6833,48.45,76.14,90,83,2.04,moderate rain
89,Havre-St-Pierre,CA,50.2334,-63.5986,26.96,74,100,17.27,overcast clouds
90,Cidreira,BR,-30.1811,-50.2056,71.22,61,23,12.62,few clouds
91,Port Alfred,ZA,-33.5906,26.891,69.19,89,97,1.01,light rain
92,Busselton,AU,-33.65,115.3333,64.56,67,6,15.84,clear sky
93,Lorengau,PG,-2.0226,147.2712,79.9,77,67,1.59,broken clouds
94,Ilulissat,GL,69.2167,-51.1,15.82,57,40,20.71,scattered clouds
95,Turan,VN,16.0678,108.2208,66.18,94,100,6.91,mist
96,Pacific Grove,US,36.6177,-121.9166,53.51,71,0,0.0,clear sky
97,Beringovskiy,RU,63.05,179.3167,28.99,98,100,13.91,snow
98,Moree,AU,-29.4667,149.85,63.86,64,59,10.4,broken clouds
99,Bukama,CD,-9.2,25.85,72.36,90,93,1.36,light rain
100,Kendari,ID,-3.945,122.4989,77.25,85,100,7.25,overcast clouds
101,Hāgere Hiywet,ET,8.9833,37.85,62.64,60,88,6.78,overcast clouds
102,Hammerfest,NO,70.6634,23.6821,21.65,79,20,2.3,few clouds
103,Xam Nua,LA,20.4197,104.0439,46.9,81,100,2.95,overcast clouds
104,Gorontalo,ID,0.5412,123.0595,75.25,96,100,4.45,overcast clouds
105,Avarua,CK,-21.2078,-159.775,77.05,94,100,12.66,overcast clouds
106,Mayo,US,38.8876,-76.5119,47.39,46,40,13.8,scattered clouds
107,Shīeli,KZ,44.1667,66.75,25.81,64,5,10.92,clear sky
108,Sitka,US,57.0531,-135.33,26.49,39,0,3.44,clear sky
109,Saskylakh,RU,71.9167,114.0833,-36.51,100,55,5.19,broken clouds
110,Butaritari,KI,3.0707,172.7902,81.23,78,69,8.23,light rain
111,Severo-Kuril'sk,RU,50.6789,156.125,25.21,68,94,18.86,overcast clouds
112,Hithadhoo,MV,-0.6,73.0833,81.59,74,43,11.77,scattered clouds
113,Tuni,IN,17.35,82.55,72.28,87,41,5.68,scattered clouds
114,Deputatsky,RU,69.3,139.9,-38.25,99,57,3.15,broken clouds
115,Atuona,PF,-9.8,-139.0333,78.26,76,85,21.74,overcast clouds
